ID,SPECIES,ISLAND,SEX,DATE_EGG,YEAR,CULMEN_LENGTH,CULMEN_DEPTH,FLIPPER_LENGTH,BODY_MASS
PAL0708_N1A1,Adelie,Torgersen,male,2007-11-11,2007,39.1,18.7,181.0,3750.0
PAL0708_N1A2,Adelie,Torgersen,female,2007-11-11,2007,39.5,17.4,186.0,3800.0
PAL0708_N2A1,Adelie,Torgersen,female,2007-11-16,2007,40.3,18.0,195.0,3250.0
PAL0708_N2A2,Adelie,Torgersen,,2007-11-16,2007,,,,
PAL0708_N3A1,Adelie,Torgersen,female,2007-11-16,2007,36.7,19.3,193.0,3450.0
PAL0708_N3A2,Adelie,Torgersen,male,2007-11-16,2007,39.3,20.6,190.0,3650.0
PAL0708_N4A1,Adelie,Torgersen,female,2007-11-15,2007,38.9,17.8,181.0,3625.0
PAL0708_N4A2,Adelie,Torgersen,male,2007-11-15,2007,39.2,19.6,195.0,4675.0
PAL0708_N5A1,Adelie,Torgersen,,2007-11-09,2007,34.1,18.1,193.0,3475.0
PAL0708_N5A2,Adelie,Torgersen,,2007-11-09,2007,42.0,20.2,190.0,4250.0
PAL0708_N6A1,Adelie,Torgersen,,2007-11-09,2007,37.8,17.1,186.0,3300.0
PAL0708_N6A2,Adelie,Torgersen,,2007-11-09,2007,37.8,17.3,180.0,3700.0
PAL0708_N7A1,Adelie,Torgersen,female,2007-11-15,2007,41.1,17.6,182.0,3200.0
PAL0708_N7A2,Adelie,Torgersen,male,2007-11-15,2007,38.6,21.2,191.0,3800.0
PAL0708_N8A1,Adelie,Torgersen,male,2007-11-16,2007,34.6,21.1,198.0,4400.0
PAL0708_N8A2,Adelie,Torgersen,female,2007-11-16,2007,36.6,17.8,185.0,3700.0
PAL0708_N9A1,Adelie,Torgersen,female,2007-11-12,2007,38.7,19.0,195.0,3450.0
PAL0708_N9A2,Adelie,Torgersen,male,2007-11-12,2007,42.5,20.7,197.0,4500.0
PAL0708_N10A1,Adelie,Torgersen,female,2007-11-16,2007,34.4,18.4,184.0,3325.0
PAL0708_N10A2,Adelie,Torgersen,male,2007-11-16,2007,46.0,21.5,194.0,4200.0
PAL0708_N11A1,Adelie,Biscoe,female,2007-11-12,2007,37.8,18.3,174.0,3400.0
PAL0708_N11A2,Adelie,Biscoe,male,2007-11-12,2007,37.7,18.7,180.0,3600.0
